"","Codigo_nacional","Estación","Latitud","Longitud","Altura","Region","Macrozona","Comuna","Cuenca","Subcuenca"
"1","01000005-K","Visviri DGA",-17.595,-69.4831,4083,"Región de Arica y Parinacota","Norte","General Lagos","Altiplanicas","Entre Limite Peru-Bolivia y Rio Lauca"
"2","01001005-5","Caquena DGA",-18.0542,-69.2017,4395,"Región de Arica y Parinacota","Norte","Putre","Altiplanicas","Entre Limite Peru-Bolivia y Rio Lauca"
"3","01010007-0","Chungara reten DGA",-18.2808,-69.1383,4564,"Región de Arica y Parinacota","Norte","Putre","Altiplanicas","Lago Chungara"
"4","01010008-9","Missituni DGA",-18.3478,-69.1342,4724,"Región de Arica y Parinacota","Norte","Putre","Altiplanicas","Lago Chungara"
"5","01010009-7","Chungara guarderia DGA",-18.2669,-69.1167,4607,"Región de Arica y Parinacota","Norte","Putre","Altiplanicas","Lago Chungara"
"6","01010010-0","Chungara ajata DGA",-18.2353,-69.1833,4576,"Región de Arica y Parinacota","Norte","Putre","Altiplanicas","Lago Chungara"
"7","01020002-4","Rio desaguadero cotacotani DGA",-18.1936,-69.2458,4541,"Región de Arica y Parinacota","Norte","Putre","Altiplanicas","Rio Lauca"
"8","01020013-K","Isla blanca DGA",-18.1858,-69.2142,4554,"Región de Arica y Parinacota","Norte","Putre","Altiplanicas","Rio Lauca"
"9","01020014-8","Cotacotani DGA",-18.1836,-69.2328,4550,"Región de Arica y Parinacota","Norte","Putre","Altiplanicas","Rio Lauca"
"10","01020015-6","Parinacota conaf DGA",-18.2014,-69.2683,4422,"Región de Arica y Parinacota","Norte","Putre","Altiplanicas","Rio Lauca"
"11","01020016-4","Chucuyo reten DGA",-18.2164,-69.2956,4412,"Región de Arica y Parinacota","Norte","Putre","Altiplanicas","Rio Lauca"
"12","01020017-2","Parinacota ex endesa DGA",-18.2042,-69.2683,4426,"Región de Arica y Parinacota","Norte","Putre","Altiplanicas","Rio Lauca"
